model_name,trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return,created_at
model3,2025-11-18,"NVL,VRE,ANV,AFX,VHM",5,0.021757587975538128,-0.02204677664348181,0.38554608821868896,0.004,0.017757587975538128,-0.30223882194427143,-0.4863318207089681,-0.1262349769541079,2026-06-11 18:34:50
model3,2025-11-19,"VRE,HAG,SHS,NVL",4,0.021813496203233695,0.0024564395483825077,0.35934099555015564,0.004,0.017813496203233695,-0.2870182111359889,-0.47718159454744535,-0.12408862599550452,2026-06-11 18:34:50
model3,2025-11-20,"SHS,VRE,AFX,NVL,VJC",5,0.031331570216888684,0.0030604457001133165,0.3719358444213867,0.004,0.027331570216888684,-0.2646793721548333,-0.46289214658813715,-0.12140794679725209,2026-06-11 18:34:50
model3,2025-11-21,"NVL,SHS",2,-0.03336940836940838,0.004749251497939502,0.3877514898777008,0.004,-0.037369408369408386,-0.2892165864678484,-0.4829635493007014,-0.11723529217250117,2026-06-11 18:34:50
model3,2025-11-24,"NVL,VRE,SHS,HAG",4,-0.03261511759405991,-0.0037649391826905607,0.3833243250846863,0.004,-0.036615117594059915,-0.3123988710841068,-0.5018948997434716,-0.12055884761009739,2026-06-11 18:34:50
model3,2025-11-25,"NVL,VJC",2,-0.01744435793486726,0.013344044300496117,0.37132829427719116,0.004,-0.02144435793486726,-0.32439363129333454,-0.5125764438025555,-0.10882354591292709,2026-06-11 18:34:50
model3,2025-11-26,"GEE,DCL,NVL",3,0.07596668630867787,0.0028778240183436575,0.4130149781703949,0.004,0.07196668630867786,-0.27307005421365027,-0.47749818563423374,-0.10625889690877299,2026-06-11 18:34:50
model3,2025-11-27,"GEE,SHS,NVL,DCL",4,0.03923755915943544,0.013784471732141654,0.39717864990234375,0.004,0.03523755915943544,-0.24454709746109327,-0.4590864970396077,-0.09393914793735891,2026-06-11 18:34:50
model3,2025-11-28,"SHS,HAG",2,0.03152709359605921,0.013848621814965493,0.3681466579437256,0.004,0.027527093596059208,-0.2207298630953346,-0.4441967204162447,-0.08139145385579794,2026-06-11 18:34:50
model3,2025-12-01,"GEE,SHS,HAG",3,0.038253569110680154,0.011294568350807705,0.39365264773368835,0.004,0.03425356911068016,-0.1909199990573628,-0.42515847436707976,-0.07101616684373624,2026-06-11 18:34:50
