Top_K,Min_Volume,Min_Close,Min_Buy_Probability,Min_Buy_Sell_Margin,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
5,100000,5.0,0.55,0.0,0.001,0.001,0.004,16011,212,202,1,-0.0005380972879896688,-0.0005578992681876886,-0.10869565217391308,-0.11269565217391309,-0.6516077006610144,0.0,-1.1169264758591981,-1.116926475859198
5,200000,5.0,0.55,0.0,0.001,0.001,0.004,13138,171,202,1,-0.0005380972879896688,-0.0005578992681876886,-0.10869565217391308,-0.11269565217391309,-0.6658931202819851,0.0,-1.1169264758591981,-1.116926475859198
10,50000,5.0,0.55,0.0,0.001,0.001,0.004,19428,248,202,1,-0.0005380972879896688,-0.0005578992681876886,-0.10869565217391308,-0.11269565217391309,-0.6366138696886554,0.0,-1.1169264758591981,-1.116926475859198
10,100000,5.0,0.55,0.0,0.001,0.001,0.004,16011,212,202,1,-0.0005380972879896688,-0.0005578992681876886,-0.10869565217391308,-0.11269565217391309,-0.6516077006610144,0.0,-1.1169264758591981,-1.116926475859198
10,200000,5.0,0.55,0.0,0.001,0.001,0.004,13138,171,202,1,-0.0005380972879896688,-0.0005578992681876886,-0.10869565217391308,-0.11269565217391309,-0.6658931202819851,0.0,-1.1169264758591981,-1.116926475859198
20,50000,5.0,0.55,0.0,0.001,0.001,0.004,19428,248,202,1,-0.0005380972879896688,-0.0005578992681876886,-0.10869565217391308,-0.11269565217391309,-0.6366138696886554,0.0,-1.1169264758591981,-1.116926475859198
20,100000,5.0,0.55,0.0,0.001,0.001,0.004,16011,212,202,1,-0.0005380972879896688,-0.0005578992681876886,-0.10869565217391308,-0.11269565217391309,-0.6516077006610144,0.0,-1.1169264758591981,-1.116926475859198
20,200000,5.0,0.55,0.0,0.001,0.001,0.004,13138,171,202,1,-0.0005380972879896688,-0.0005578992681876886,-0.10869565217391308,-0.11269565217391309,-0.6658931202819851,0.0,-1.1169264758591981,-1.116926475859198
5,100000,5.0,0.45,0.0,0.001,0.001,0.004,16011,212,202,79,0.0017151408225986528,0.0001507843869550874,0.09113565065806184,-0.20555287456549598,-0.6516077006610144,19.801980198019802,0.5337570535393061,0.0469657985181013
10,100000,5.0,0.45,0.0,0.001,0.001,0.004,16011,212,202,79,0.0017151408225986528,0.0001507843869550874,0.09113565065806184,-0.20555287456549598,-0.6516077006610144,19.801980198019802,0.5337570535393061,0.0469657985181013
20,100000,5.0,0.45,0.0,0.001,0.001,0.004,16011,212,202,79,0.0017151408225986528,0.0001507843869550874,0.09113565065806184,-0.20555287456549598,-0.6516077006610144,19.801980198019802,0.5337570535393061,0.0469657985181013
5,50000,5.0,0.45,0.0,0.001,0.001,0.004,19428,248,202,83,-0.0006608308734790891,-0.0023043952299147347,-0.33393877972259356,-0.5237386481196633,-0.6366138696886554,19.801980198019802,-0.20196209660596157,-0.7033509435998044
10,50000,5.0,0.45,0.0,0.001,0.001,0.004,19428,248,202,83,-0.0006608308734790891,-0.0023043952299147347,-0.33393877972259356,-0.5237386481196633,-0.6366138696886554,19.801980198019802,-0.20196209660596157,-0.7033509435998044
20,50000,5.0,0.45,0.0,0.001,0.001,0.004,19428,248,202,83,-0.0006608308734790891,-0.0023043952299147347,-0.33393877972259356,-0.5237386481196633,-0.6366138696886554,19.801980198019802,-0.20196209660596157,-0.7033509435998044
20,100000,10.0,0.35,0.0,0.001,0.001,0.004,13386,172,202,196,-0.003344685668924992,-0.007225873787736875,-0.5805455736599815,-0.8096057610588276,-0.5489531151795815,47.02970297029702,-1.2248182351271675,-2.6452145753147502
20,50000,10.0,0.35,0.0,0.001,0.001,0.004,15797,201,202,196,-0.003625838486052002,-0.0075070266048638855,-0.6051121164327815,-0.820802847197706,-0.5488923202483598,47.02970297029702,-1.3165191307202169,-2.7248068019840797
10,100000,10.0,0.35,0.0,0.001,0.001,0.004,13386,172,202,196,-0.0036875070761797067,-0.007568695194991588,-0.6082267369129745,-0.8222186295379956,-0.5489531151795815,47.524752475247524,-1.3551584719309084,-2.7804934752523045
5,100000,10.0,0.35,0.0,0.001,0.001,0.004,13386,172,202,196,-0.0037845176512526424,-0.007665705770064526,-0.6240186471651461,-0.8294282506856561,-0.5489531151795815,47.524752475247524,-1.3191342075406116,-2.6710837631850155
10,50000,10.0,0.35,0.0,0.001,0.001,0.004,15797,201,202,196,-0.003970213353894343,-0.007851401472706226,-0.6312178918057569,-0.8326947117225743,-0.5488923202483598,48.01980198019802,-1.447440665910756,-2.861360009226074
20,200000,10.0,0.35,0.0,0.001,0.001,0.004,11350,140,202,195,-0.004045633295411718,-0.007907019434025582,-0.6376078204023057,-0.8349467460046265,-0.5726511745580491,47.02970297029702,-1.4681375121541782,-2.868165197154125
5,50000,10.0,0.35,0.0,0.001,0.001,0.004,15797,201,202,196,-0.003990730226041364,-0.007871918344853245,-0.6408321727728622,-0.8370887753389918,-0.5488923202483598,48.01980198019802,-1.3785042672110488,-2.718258407554283
10,200000,10.0,0.35,0.0,0.001,0.001,0.004,11350,140,202,195,-0.004258770716384821,-0.008120156854998683,-0.6530166556387185,-0.8419926371751408,-0.5726511745580491,47.524752475247524,-1.5448135671627394,-2.944155920184043
5,200000,10.0,0.35,0.0,0.001,0.001,0.004,11350,140,202,195,-0.004610160298823384,-0.008471546437437246,-0.6825190688416651,-0.8554897184531784,-0.5726511745580491,47.524752475247524,-1.6032628443353787,-2.944839067681478
20,50000,5.0,0.35,0.0,0.001,0.001,0.004,19428,248,202,201,-0.006765836847626489,-0.01074603486742847,-0.7773916650216551,-0.9011888949732781,-0.6366138696886554,45.04950495049505,-3.002885452931632,-4.768769645977109
20,100000,5.0,0.35,0.0,0.001,0.001,0.004,16011,212,202,201,-0.0069315261861000715,-0.010911724205902052,-0.7892207045874502,-0.9064692378855321,-0.6516077006610144,46.53465346534654,-2.879336409956445,-4.532148481260744
10,50000,5.0,0.35,0.0,0.001,0.001,0.004,19428,248,202,201,-0.007509404900784262,-0.011489602920586244,-0.8095053520698428,-0.9154983640112961,-0.6366138696886554,45.04950495049505,-3.279054099004884,-5.016328491771187
20,200000,5.0,0.35,0.0,0.001,0.001,0.004,13138,171,202,201,-0.007495967384797355,-0.011476165404599335,-0.8157404999480241,-0.9182885193740656,-0.6658931202819851,44.554455445544555,-2.9378250063253697,-4.497229670824479
10,100000,5.0,0.35,0.0,0.001,0.001,0.004,16011,212,202,201,-0.0077018071987184624,-0.011682005218520442,-0.8207196649693529,-0.9205002965666054,-0.6516077006610144,45.54455445544555,-3.1469624849722373,-4.772663673250735
5,50000,5.0,0.35,0.0,0.001,0.001,0.004,19428,248,202,201,-0.007908317218328537,-0.01188851523813052,-0.830749955984234,-0.9249696096462643,-0.6366138696886554,42.57425742574257,-3.060640249756103,-4.600499428147514
5,100000,5.0,0.35,0.0,0.001,0.001,0.004,16011,212,202,201,-0.00800718809579722,-0.011987386115599201,-0.8374728344823323,-0.9279685698703176,-0.6516077006610144,44.05940594059406,-2.948714216637452,-4.41398297982968
10,200000,5.0,0.35,0.0,0.001,0.001,0.004,13138,171,202,201,-0.00818360314179288,-0.012163801161594861,-0.8404279522562984,-0.9292787327420065,-0.6658931202819851,43.56435643564357,-3.172530712455761,-4.714961543473312
5,200000,5.0,0.35,0.0,0.001,0.001,0.004,13138,171,202,201,-0.008798746054416237,-0.01277894407421822,-0.8636829345620755,-0.9396317146222178,-0.6658931202819851,42.57425742574257,-3.131346939942584,-4.547351389302946
