trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2025-09-05,"TCI,VOS,TDC,CRE,MSB",5,-0.025182864202836375,-0.0062111233489798275,0.39217644929885864,0.004,-0.029182864202836376,-0.16432462321146823,-0.22930486255481308,-0.0980458129221653
2025-09-08,"GEE,NHA,SHS,VOS,NAG",5,0.0462728215751802,0.03740067424375682,0.3926743268966675,0.004,0.0422728215751802,-0.125655565606561,-0.19672540452073373,-0.0643121181884746
2025-09-09,"CTP,FCN,SSB,TDC,TCI",5,0.018515982831445954,0.021797328448960703,0.39359983801841736,0.004,0.014515982831445954,-0.10946621907056187,-0.18506508428381996,-0.04391662210291636
2025-09-10,"NHA,VOS,TCI,TDC,RYG",5,-0.018380306792912738,0.013221323792520012,0.38735485076904297,0.004,-0.022380306792912738,-0.12583450317349743,-0.20330357771380447,-0.03127593419109265
2025-09-11,"TDC,VOS",2,0.03419433554221729,0.004804719477528292,0.3598669171333313,0.004,0.03019433554221729,-0.09594299485558277,-0.17924785861401094,-0.026621486803750205
2025-09-12,"TDC,CSM,IJC,NHA,EVG",5,0.006147393809266499,-0.011193820233038634,0.40873581171035767,0.004,0.0021473938092664993,-0.09038540041893406,-0.17748538054665652,-0.03751731089917143
2025-09-15,"GEE,TDC,EVG,VHC,NHA",5,-0.036595034416799545,-0.03895565797228705,0.4056236147880554,0.004,-0.04059503441679954,-0.12367277799662657,-0.21087538983168586,-0.07501145734003045
2025-09-16,"NHA,NAG,PC1,HAG,TDC",5,-0.027096761646984914,-0.03133145553779902,0.38299068808555603,0.004,-0.031096761646984914,-0.14741840785601645,-0.23541460974385986,-0.10399269473735484
2025-09-17,"TDC,CRE,FCN,PC1,EVG",5,0.02481354603607535,-0.004694730183005233,0.39609938859939575,0.004,0.02081354603607535,-0.12626283526984128,-0.21950087652525296,-0.1081992072775646
2025-09-18,"TDC,PC1,EVG,NHA,IJC",5,0.02206373293070616,0.0006414256999163816,0.4022192358970642,0.004,0.01806373293070616,-0.10698493181560276,-0.20540214880615493,-0.10762718332990673
2025-09-19,"TDC,EVG,IJC,NAG,NHA",5,0.0032588312264698826,-0.005845724760247643,0.3957657814025879,0.004,-0.0007411687735301175,-0.10407474642569536,-0.20599107992097399,-0.1128437491996871
2025-09-22,"TCI,IJC,NAG,CSM,PC1",5,-0.009504618909853458,0.004703481746538833,0.38653355836868286,0.004,-0.013504618909853458,-0.11259017453263298,-0.21671386779766555,-0.10867102596772005
2025-09-23,"MSB,VDS,DTL,CSM,TCI",5,0.00022594588443682894,0.003539105141373948,0.3806200921535492,0.004,-0.0037740541155631712,-0.1123896679347598,-0.2196700320485674,-0.1055165190130668
2025-09-24,,0,0.0,-0.008962612643952546,0.0,0.0,0.0,-0.1123896679347598,-0.2196700320485674,-0.113533427969567
2025-09-25,"TCI,CSM,IJC",3,0.006320507615021342,-0.020900196230464425,0.3719424903392792,0.004,0.0023205076150213423,-0.10677952007176994,-0.21785927041570663,-0.13206075327675026
2025-09-26,"TCI,CSM,CRE,VDS,SHS",5,-0.015928395321405865,-0.025214009446648544,0.3694368302822113,0.004,-0.019928395321405865,-0.1210070889852427,-0.2334460800718352,-0.15394498164274728
2025-09-29,"GEE,CSM,CRE,TCI,TDC",5,0.028317955472925684,0.00742559045942262,0.37146663665771484,0.004,0.024317955472925683,-0.09611580687010957,-0.21480505597942556,-0.14766252357028697
2025-09-30,"GEE,CSM,TCI",3,-0.006503323616785332,0.0015297764358785675,0.3881586790084839,0.004,-0.010503323616785333,-0.10199405829013009,-0.2230522125787373,-0.1463586377834286
2025-10-01,"CTP,TCI,DTL,CSM,SHS",5,-0.01343897248822008,0.00805184672383501,0.4062981605529785,0.004,-0.01743897248822008,-0.1140623354350272,-0.23660138366836025,-0.13948524837773502
2025-10-02,"CSM,TCI,VDS,HDG,IJC",5,0.007246762187883693,0.025443385678064485,0.36107388138771057,0.004,0.0032467621878836932,-0.10764215586663572,-0.23412280990657186,-0.11759083967054584
