model_name,trading_date,symbol,predicted_signal,adjusted_signal,sell_probability,hold_probability,buy_probability,encode_sector,sector,close,volume,target_signal,target_return,predicted_signal_score,signal_confidence,buy_sell_margin,created_at
model3,2024-11-14,LHC,HOLD,HOLD,0.15498865,0.68937534,0.15563603,3,Construction & Materials,71.79,64801.0,HOLD,0.009611366485583,0.00064738095,0.68937534,0.00064738095,2026-06-03 08:51:00
model3,2024-11-15,LHC,HOLD,HOLD,0.168889,0.7132508,0.1178602,3,Construction & Materials,71.99,2800.0,HOLD,-0.0233365745242394,-0.051028803,0.7132508,-0.051028803,2026-06-03 08:51:00
model3,2024-11-18,LHC,HOLD,HOLD,0.22189708,0.65919805,0.11890488,3,Construction & Materials,71.89,6300.0,HOLD,0.0,-0.1029922,0.65919805,-0.1029922,2026-06-03 08:51:00
model3,2024-11-19,LHC,HOLD,HOLD,0.14644828,0.7310706,0.122481145,3,Construction & Materials,71.79,1000.0,HOLD,-0.0096113664855831,-0.02396714,0.7310706,-0.02396714,2026-06-03 08:51:00
model3,2024-11-20,LHC,HOLD,HOLD,0.1468078,0.7160928,0.13709939,3,Construction & Materials,71.79,155001.0,HOLD,-0.0096113664855831,-0.009708419,0.7160928,-0.009708419,2026-06-03 08:51:00
model3,2024-11-21,LHC,HOLD,HOLD,0.1688001,0.69907534,0.13212453,3,Construction & Materials,72.48,16100.0,HOLD,-0.0190397350993378,-0.036675572,0.69907534,-0.036675572,2026-06-03 08:51:00
model3,2024-11-22,LHC,HOLD,HOLD,0.15959243,0.67802775,0.16237985,3,Construction & Materials,70.31,10200.0,HOLD,0.0056890911676859,0.0027874112,0.67802775,0.0027874112,2026-06-03 08:51:00
model3,2024-11-25,LHC,HOLD,HOLD,0.14966212,0.7153197,0.13501815,3,Construction & Materials,71.89,19400.0,HOLD,-0.019195993879538,-0.014643967,0.7153197,-0.014643967,2026-06-03 08:51:00
model3,2024-11-26,LHC,HOLD,HOLD,0.21303926,0.6664265,0.12053424,3,Construction & Materials,71.1,5500.0,HOLD,-0.0097046413502109,-0.09250502,0.6664265,-0.09250502,2026-06-03 08:51:00
model3,2024-11-27,LHC,HOLD,HOLD,0.15681784,0.7269596,0.11622258,3,Construction & Materials,71.1,4000.0,HOLD,-0.0097046413502109,-0.040595256,0.7269596,-0.040595256,2026-06-03 08:51:00
model3,2024-11-28,LHC,HOLD,HOLD,0.18218084,0.7106537,0.1071654,3,Construction & Materials,71.1,800.0,BUY,0.0402250351617439,-0.07501543,0.7106537,-0.07501543,2026-06-03 08:51:00
model3,2024-11-29,LHC,HOLD,HOLD,0.13166596,0.7391976,0.12913649,3,Construction & Materials,70.71,2501.0,BUY,0.0459623815584782,-0.002529472,0.7391976,-0.002529472,2026-06-03 08:51:00
model3,2024-12-02,LHC,HOLD,HOLD,0.14272326,0.7441747,0.11310205,3,Construction & Materials,70.51,5800.0,BUY,0.0279392993901574,-0.029621214,0.7441747,-0.029621214,2026-06-03 08:51:00
model3,2024-12-03,LHC,HOLD,HOLD,0.1321106,0.7630898,0.1047996,3,Construction & Materials,70.41,4070.0,HOLD,0.0224399943189888,-0.027310997,0.7630898,-0.027310997,2026-06-03 08:51:00
model3,2024-12-04,LHC,HOLD,HOLD,0.12947527,0.7560051,0.11451962,3,Construction & Materials,70.41,4100.0,HOLD,0.0210197415139894,-0.014955647,0.7560051,-0.014955647,2026-06-03 08:51:00
model3,2024-12-05,LHC,HOLD,HOLD,0.30551097,0.5358508,0.15863818,3,Construction & Materials,73.96,16260.0,SELL,-0.0279881016765818,-0.14687279,0.5358508,-0.14687279,2026-06-03 08:51:00
model3,2024-12-06,LHC,HOLD,HOLD,0.28033695,0.569764,0.14989902,3,Construction & Materials,73.96,10013.0,SELL,-0.0266360194699837,-0.13043793,0.569764,-0.13043793,2026-06-03 08:51:00
model3,2024-12-09,LHC,HOLD,HOLD,0.2432365,0.5875948,0.16916873,3,Construction & Materials,72.48,19500.0,HOLD,-0.0122792494481236,-0.07406777,0.5875948,-0.07406777,2026-06-03 08:51:00
model3,2024-12-10,LHC,HOLD,HOLD,0.21379471,0.6249758,0.16122943,3,Construction & Materials,71.99,24900.0,HOLD,-0.008195582719822,-0.052565277,0.6249758,-0.052565277,2026-06-03 08:51:00
model3,2024-12-11,LHC,HOLD,HOLD,0.16901423,0.6499317,0.18105409,3,Construction & Materials,71.89,46500.0,HOLD,-0.009597996939769,0.012039855,0.6499317,0.012039855,2026-06-03 08:51:00
model3,2024-12-12,LHC,HOLD,HOLD,0.15396374,0.69186395,0.15417233,3,Construction & Materials,71.89,12800.0,HOLD,-0.0151620531367366,0.00020858645,0.69186395,0.00020858645,2026-06-03 08:51:00
model3,2024-12-13,LHC,HOLD,HOLD,0.16378441,0.6881997,0.14801587,3,Construction & Materials,71.99,600.0,HOLD,-0.0191693290734823,-0.015768543,0.6881997,-0.015768543,2026-06-03 08:51:00
model3,2024-12-18,LHC,HOLD,HOLD,0.1270574,0.7454281,0.12751451,3,Construction & Materials,71.59,2000.0,HOLD,-0.0164827489872888,0.00045710802,0.7454281,0.00045710802,2026-06-03 08:51:00
model3,2024-12-19,LHC,HOLD,HOLD,0.12918249,0.7511461,0.11967142,3,Construction & Materials,71.4,804.0,HOLD,-0.0138655462184875,-0.009511068,0.7511461,-0.009511068,2026-06-03 08:51:00
model3,2024-12-20,LHC,HOLD,HOLD,0.11958456,0.75862163,0.121793784,3,Construction & Materials,71.2,7700.0,HOLD,-0.0110955056179775,0.0022092238,0.75862163,0.0022092238,2026-06-03 08:51:00
model3,2024-12-23,LHC,HOLD,HOLD,0.1444978,0.72212774,0.13337444,3,Construction & Materials,70.8,4550.0,HOLD,0.0028248587570622,-0.011123359,0.72212774,-0.011123359,2026-06-03 08:51:00
model3,2024-12-24,LHC,HOLD,HOLD,0.13494682,0.7393644,0.12568879,3,Construction & Materials,70.61,6400.0,HOLD,0.00552329698343,-0.009258032,0.7393644,-0.009258032,2026-06-03 08:51:00
model3,2024-12-25,LHC,HOLD,HOLD,0.14838502,0.6812966,0.17031842,3,Construction & Materials,70.41,7500.0,HOLD,0.0153387302939922,0.021933407,0.6812966,0.021933407,2026-06-03 08:51:00
model3,2024-12-26,LHC,HOLD,HOLD,0.14349067,0.7265104,0.12999894,3,Construction & Materials,70.41,11300.0,HOLD,0.0153387302939922,-0.013491735,0.7265104,-0.013491735,2026-06-03 08:51:00
model3,2024-12-27,LHC,HOLD,HOLD,0.1360552,0.73790264,0.12604216,3,Construction & Materials,70.41,14700.0,HOLD,0.0153387302939922,-0.010013044,0.73790264,-0.010013044,2026-06-03 08:51:00
model3,2024-12-30,LHC,HOLD,HOLD,0.15939835,0.69267917,0.14792252,3,Construction & Materials,71.0,18700.0,HOLD,-0.0069014084507041,-0.011475831,0.69267917,-0.011475831,2026-06-03 08:51:00
model3,2024-12-31,LHC,HOLD,HOLD,0.13576025,0.7444062,0.11983354,3,Construction & Materials,71.0,1200.0,HOLD,-0.0069014084507041,-0.015926711,0.7444062,-0.015926711,2026-06-03 08:51:00
model3,2025-01-02,LHC,HOLD,HOLD,0.10556496,0.7406622,0.15377276,3,Construction & Materials,71.49,4300.0,HOLD,-0.0109106168694922,0.048207797,0.7406622,0.048207797,2026-06-03 08:51:00
model3,2025-01-03,LHC,HOLD,HOLD,0.11488443,0.74676156,0.13835399,3,Construction & Materials,71.49,5500.0,HOLD,-0.0068541054692963,0.02346956,0.74676156,0.02346956,2026-06-03 08:51:00
model3,2025-01-06,LHC,HOLD,HOLD,0.16171135,0.70609665,0.13219205,3,Construction & Materials,71.49,4000.0,HOLD,-0.0068541054692963,-0.029519305,0.70609665,-0.029519305,2026-06-03 08:51:00
model3,2025-01-07,LHC,HOLD,HOLD,0.10524968,0.79296,0.10179034,3,Construction & Materials,70.51,21300.0,HOLD,0.0028364770954472,-0.0034593418,0.79296,-0.0034593418,2026-06-03 08:51:00
model3,2025-01-08,LHC,HOLD,HOLD,0.11633029,0.7857981,0.09787163,3,Construction & Materials,70.51,2100.0,HOLD,0.0014182385477237,-0.018458657,0.7857981,-0.018458657,2026-06-03 08:51:00
model3,2025-01-09,LHC,HOLD,HOLD,0.07430768,0.8441239,0.08156837,3,Construction & Materials,70.71,3500.0,HOLD,-0.0223447885730447,0.0072606876,0.8441239,0.0072606876,2026-06-03 08:51:00
model3,2025-01-10,LHC,HOLD,HOLD,0.08014278,0.82933897,0.09051826,3,Construction & Materials,71.0,3000.0,HOLD,-0.0069014084507041,0.010375477,0.82933897,0.010375477,2026-06-03 08:51:00
model3,2025-01-13,LHC,HOLD,HOLD,0.07577328,0.846243,0.077983685,3,Construction & Materials,71.0,9800.0,HOLD,-0.0069014084507041,0.0022104084,0.846243,0.0022104084,2026-06-03 08:51:00
model3,2025-01-14,LHC,HOLD,HOLD,0.075327665,0.85981333,0.06485905,3,Construction & Materials,70.71,2000.0,HOLD,0.0110309715740348,-0.010468617,0.85981333,-0.010468617,2026-06-03 08:51:00
model3,2025-01-15,LHC,HOLD,HOLD,0.064246856,0.86979413,0.06595902,3,Construction & Materials,70.61,2700.0,HOLD,0.0083557569749328,0.0017121658,0.86979413,0.0017121658,2026-06-03 08:51:00
model3,2025-01-16,LHC,HOLD,HOLD,0.12841028,0.7348429,0.13674681,3,Construction & Materials,69.13,4400.0,BUY,0.0284970345725443,0.008336529,0.7348429,0.008336529,2026-06-03 08:51:00
