time,symbol,low
2025-11-07 07:00:00,ABT,64.71
2025-11-10 07:00:00,ABT,65.38
2025-11-11 07:00:00,ABT,65.09
2025-11-12 07:00:00,ABT,66.14
2025-11-13 07:00:00,ABT,65.85
2025-11-14 07:00:00,ABT,65.85
2025-11-17 07:00:00,ABT,66.33
2025-11-18 07:00:00,ABT,65.76
2025-11-19 07:00:00,ABT,67.76
2025-11-20 07:00:00,ABT,68.34
2025-11-21 07:00:00,ABT,68.72
2025-11-24 07:00:00,ABT,68.24
2025-11-25 07:00:00,ABT,68.72
2025-11-26 07:00:00,ABT,68.43
2025-11-27 07:00:00,ABT,68.72
2025-11-28 07:00:00,ABT,68.91
2025-12-01 07:00:00,ABT,68.81
2025-12-02 07:00:00,ABT,68.72
2025-12-03 07:00:00,ABT,66.71
2025-12-04 07:00:00,ABT,68.72
2025-12-05 07:00:00,ABT,66.71
2025-12-08 07:00:00,ABT,66.71
2025-12-09 07:00:00,ABT,66.24
2025-12-10 07:00:00,ABT,65.95
2025-12-11 07:00:00,ABT,65.0
2025-12-12 07:00:00,ABT,62.99
2025-12-15 07:00:00,ABT,62.99
2025-12-16 07:00:00,ABT,63.56
2025-12-17 07:00:00,ABT,64.14
2025-12-18 07:00:00,ABT,64.71
2025-12-19 07:00:00,ABT,64.8
2025-12-22 07:00:00,ABT,64.8
2025-12-23 07:00:00,ABT,63.94
2025-12-24 07:00:00,ABT,63.94
2025-12-25 07:00:00,ABT,64.04
2025-12-26 07:00:00,ABT,63.94
2025-12-29 07:00:00,ABT,64.33
2025-12-30 07:00:00,ABT,64.8
2025-12-31 07:00:00,ABT,66.62
2026-01-05 07:00:00,ABT,66.04
2026-01-06 07:00:00,ABT,65.85
2026-01-07 07:00:00,ABT,65.0
2026-01-08 07:00:00,ABT,64.52
2026-01-09 07:00:00,ABT,64.52
2026-01-12 07:00:00,ABT,64.71
2026-01-13 07:00:00,ABT,65.28
2026-01-14 07:00:00,ABT,64.9
2026-01-15 07:00:00,ABT,64.42
2026-01-16 07:00:00,ABT,64.71
2026-01-19 07:00:00,ABT,64.14
2026-01-20 07:00:00,ABT,64.33
2026-01-21 07:00:00,ABT,64.9
2026-01-22 07:00:00,ABT,66.33
2026-01-23 07:00:00,ABT,67.38
2026-01-26 07:00:00,ABT,66.62
2026-01-27 07:00:00,ABT,62.04
2026-01-28 07:00:00,ABT,60.6
2026-01-29 07:00:00,ABT,60.13
2026-01-30 07:00:00,ABT,60.13
2026-02-02 07:00:00,ABT,59.46
2026-02-03 07:00:00,ABT,60.13
2026-02-04 07:00:00,ABT,59.36
2026-02-05 07:00:00,ABT,59.84
2026-02-06 07:00:00,ABT,59.84
2026-02-09 07:00:00,ABT,60.03
2026-02-10 07:00:00,ABT,59.65
2026-02-11 07:00:00,ABT,59.46
2026-02-12 07:00:00,ABT,59.65
2026-02-13 07:00:00,ABT,59.65
2026-02-23 07:00:00,ABT,60.13
2026-02-24 07:00:00,ABT,61.18
2026-02-25 07:00:00,ABT,61.37
2026-02-26 07:00:00,ABT,61.66
2026-02-27 07:00:00,ABT,62.9
2026-03-02 07:00:00,ABT,63.47
2026-03-03 07:00:00,ABT,63.28
2026-03-04 07:00:00,ABT,61.37
2026-03-05 07:00:00,ABT,62.8
2026-03-06 07:00:00,ABT,62.51
2026-03-09 07:00:00,ABT,61.66
2026-03-10 07:00:00,ABT,59.17
2026-03-11 07:00:00,ABT,60.6
2026-03-12 07:00:00,ABT,60.32
2026-03-13 07:00:00,ABT,62.04
2026-03-16 07:00:00,ABT,62.7
2026-03-17 07:00:00,ABT,60.2
2026-03-18 07:00:00,ABT,60.7
2026-03-19 07:00:00,ABT,60.5
2026-03-20 07:00:00,ABT,59.3
2026-03-23 07:00:00,ABT,59.0
2026-03-24 07:00:00,ABT,59.4
2026-03-25 07:00:00,ABT,59.6
2026-03-26 07:00:00,ABT,60.0
2026-03-27 07:00:00,ABT,58.8
2026-03-30 07:00:00,ABT,60.0
2026-03-31 07:00:00,ABT,60.0
2026-04-01 07:00:00,ABT,60.1
2026-04-02 07:00:00,ABT,60.5
2026-04-03 07:00:00,ABT,59.8
2026-04-06 07:00:00,ABT,59.5
2026-04-07 07:00:00,ABT,59.4
2026-04-08 07:00:00,ABT,60.3
2026-04-09 07:00:00,ABT,59.8
2026-04-10 07:00:00,ABT,59.8
2026-04-13 07:00:00,ABT,60.0
2026-04-14 07:00:00,ABT,59.9
2026-04-15 07:00:00,ABT,60.0
2026-04-16 07:00:00,ABT,59.9
2026-04-17 07:00:00,ABT,59.7
2026-04-20 07:00:00,ABT,59.7
2026-04-21 07:00:00,ABT,59.8
2026-04-22 07:00:00,ABT,59.7
2026-04-23 07:00:00,ABT,59.9
2026-04-24 07:00:00,ABT,60.0
2026-04-28 07:00:00,ABT,56.2
2026-04-29 07:00:00,ABT,59.0
2017-09-22 07:00:00,ACV,35.83
2017-09-25 07:00:00,ACV,36.12
2017-09-26 07:00:00,ACV,35.83
2017-09-27 07:00:00,ACV,36.06
2017-09-28 07:00:00,ACV,36.41
2017-09-29 07:00:00,ACV,39.42
2017-10-02 07:00:00,ACV,39.24
2017-10-03 07:00:00,ACV,37.57
2017-10-04 07:00:00,ACV,38.72
2017-10-05 07:00:00,ACV,38.43
2017-10-06 07:00:00,ACV,38.14
2017-10-09 07:00:00,ACV,37.62
2017-10-10 07:00:00,ACV,37.97
2017-10-11 07:00:00,ACV,38.26
2017-10-12 07:00:00,ACV,38.14
2017-10-13 07:00:00,ACV,38.26
2017-10-16 07:00:00,ACV,39.88
2017-10-18 07:00:00,ACV,38.95
2017-10-19 07:00:00,ACV,39.18
2017-10-20 07:00:00,ACV,39.3
2017-10-23 07:00:00,ACV,39.3
2017-10-24 07:00:00,ACV,39.42
2017-10-25 07:00:00,ACV,39.88
2017-10-26 07:00:00,ACV,40.46
2017-10-27 07:00:00,ACV,40.75
2017-10-30 07:00:00,ACV,40.4
2017-10-31 07:00:00,ACV,39.88
2017-11-01 07:00:00,ACV,40.17
2017-11-02 07:00:00,ACV,40.34
2017-11-03 07:00:00,ACV,40.75
2017-11-06 07:00:00,ACV,40.34
2017-11-07 07:00:00,ACV,40.46
2017-11-08 07:00:00,ACV,41.44
2017-11-09 07:00:00,ACV,43.38
2017-11-10 07:00:00,ACV,44.74
2017-11-13 07:00:00,ACV,45.63
2017-11-14 07:00:00,ACV,47.47
2017-11-15 07:00:00,ACV,47.47
2017-11-16 07:00:00,ACV,48.54
2017-11-17 07:00:00,ACV,48.66
2017-11-20 07:00:00,ACV,48.48
2017-11-21 07:00:00,ACV,46.58
2017-11-22 07:00:00,ACV,48.06
2017-11-23 07:00:00,ACV,48.95
2017-11-24 07:00:00,ACV,48.06
2017-11-27 07:00:00,ACV,48.54
2017-11-28 07:00:00,ACV,48.66
2017-11-29 07:00:00,ACV,48.66
2017-11-30 07:00:00,ACV,48.72
2017-12-01 07:00:00,ACV,49.55
2017-12-04 07:00:00,ACV,52.81
2017-12-05 07:00:00,ACV,51.62
2017-12-06 07:00:00,ACV,51.62
2017-12-07 07:00:00,ACV,52.81
2017-12-08 07:00:00,ACV,51.5
2017-12-11 07:00:00,ACV,51.62
2017-12-12 07:00:00,ACV,49.9
2017-12-13 07:00:00,ACV,48.66
2017-12-14 07:00:00,ACV,49.84
2017-12-15 07:00:00,ACV,51.33
2017-12-18 07:00:00,ACV,52.22
2017-12-19 07:00:00,ACV,53.28
2017-12-20 07:00:00,ACV,54.12
2017-12-21 07:00:00,ACV,55.3
2017-12-22 07:00:00,ACV,55.78
2017-12-25 07:00:00,ACV,55.84
2017-12-26 07:00:00,ACV,57.26
2017-12-27 07:00:00,ACV,58.74
2017-12-28 07:00:00,ACV,61.12
2017-12-29 07:00:00,ACV,61.12
2018-01-02 07:00:00,ACV,63.79
2018-01-03 07:00:00,ACV,67.64
2018-01-04 07:00:00,123,65.86
2018-01-05 07:00:00,ACV,69.96
2018-01-08 07:00:00,ACV,68.24
2018-01-09 07:00:00,ACV,65.27
2018-01-10 07:00:00,ACV,61.12
2018-01-11 07:00:00,ACV,61.71
2018-01-12 07:00:00,ACV,65.27
2018-01-15 07:00:00,ACV,62.9
2018-01-16 07:00:00,ACV,63.13
2018-01-17 07:00:00,ACV,62.3
2018-01-18 07:00:00,ACV,60.58
2018-01-19 07:00:00,ACV,61.12
2018-01-22 07:00:00,ACV,61.95
2018-01-23 07:00:00,ACV,64.08
2018-01-24 07:00:00,ACV,65.27
2018-01-25 07:00:00,ACV,64.68
2018-01-26 07:00:00,ACV,62.3
2018-01-29 07:00:00,ACV,61.12
2018-01-30 07:00:00,ACV,61.71
2018-01-31 07:00:00,ACV,59.28
2018-02-01 07:00:00,ACV,56.13
2018-02-02 07:00:00,ACV,57.26
2018-02-05 07:00:00,ACV,55.78
2018-02-06 07:00:00,ACV,49.25
2018-02-07 07:00:00,ACV,52.81
2018-02-08 07:00:00,ACV,54.0
2018-02-09 07:00:00,ACV,49.25
2018-02-12 07:00:00,ACV,53.4
2018-02-13 07:00:00,ACV,54.47
2018-02-21 07:00:00,ACV,54.59
2018-02-22 07:00:00,ACV,54.35
2018-02-23 07:00:00,ACV,54.0
2018-02-26 07:00:00,ACV,54.0
2018-02-27 07:00:00,ACV,54.59
2018-02-28 07:00:00,ACV,54.83
2018-03-01 07:00:00,A@,58.74
2018-03-02 07:00:00,ACV,56.96
2018-03-05 07:00:00,ACV,57.56
2018-03-06 07:00:00,ACV,58.68
2018-03-07 07:00:00,ACV,57.56
2018-03-08 07:00:00,ACV,57.56
2018-03-09 07:00:00,ACV,57.85
2018-03-12 07:00:00,ACV,58.57
2018-03-13 07:00:00,ACV,58.03
2018-03-14 07:00:00,ACV,56.67
2018-03-15 07:00:00,ACV,54.35
2018-03-16 07:00:00,ACV,54.12
2018-03-19 07:00:00,ACV,54.12
2018-03-20 07:00:00,ACV,52.69
2018-03-21 07:00:00,ACV,52.28
2018-03-23 07:00:00,ACV,52.22
2018-03-26 07:00:00,ACV,52.63
2018-03-27 07:00:00,ACV,54.35
2018-03-28 07:00:00,ACV,56.07
2018-03-29 07:00:00,ACV,56.96
2018-03-30 07:00:00,ACV,59.93
2018-04-02 07:00:00,ACV,61.47
2018-04-03 07:00:00,ACV,61.41
2018-04-04 07:00:00,ACV,56.9
2018-04-05 07:00:00,ACV,56.37
2018-04-06 07:00:00,ACV,54.77
2018-04-09 07:00:00,ACV,53.11
2018-04-10 07:00:00,ACV,55.18
2018-04-11 07:00:00,ACV,55.18
2018-04-12 07:00:00,ACV,55.18
2018-04-13 07:00:00,ACV,55.54
2018-04-16 07:00:00,ACV,55.3
2018-04-17 07:00:00,ACV,54.71
2018-04-18 07:00:00,ACV,54.0
2018-04-19 07:00:00,ACV,54.0
2018-04-20 07:00:00,ACV,53.4
2018-04-23 07:00:00,ACV,53.7
2018-04-24 07:00:00,ACV,52.81
2018-04-26 07:00:00,ACV,52.81
2018-04-27 07:00:00,ACV,51.74
2018-05-02 07:00:00,ACV,52.1
2018-05-03 07:00:00,ACV,51.33
2018-05-04 07:00:00,ACV,51.92
2018-05-07 07:00:00,ACV,51.33
2018-05-08 07:00:00,ACV,52.81
2018-05-09 07:00:00,ACV,52.22
2018-05-10 07:00:00,ACV,52.81
2018-05-11 07:00:00,ACV,52.28
2018-05-14 07:00:00,ACV,52.34
2018-05-15 07:00:00,ACV,52.16
2018-05-16 07:00:00,ACV,51.62
2018-05-17 07:00:00,ACV,51.8
2018-05-18 07:00:00,ACV,51.5
2018-05-21 07:00:00,ACV,51.62
2018-05-22 07:00:00,ACV,48.78
2018-05-23 07:00:00,ACV,44.5
2018-05-24 07:00:00,ACV,48.36
2018-05-25 07:00:00,ACV,48.06
2018-05-28 07:00:00,ACV,47.17
2018-05-29 07:00:00,ACV,46.22
2018-05-30 07:00:00,ACV,45.81
2018-05-31 07:00:00,ACV,47.47
2018-06-01 07:00:00,ACV,47.17
2018-06-04 07:00:00,ACV,48.66
2018-06-05 07:00:00,ACV,52.22
2018-06-06 07:00:00,ACV,51.62
2018-06-07 07:00:00,ACV,51.62
2018-06-08 07:00:00,ACV,51.62
2018-06-11 07:00:00,ACV,57.62
2018-06-12 07:00:00,ACV,54.0
2018-06-13 07:00:00,ACV,54.41
2018-06-14 07:00:00,ACV,53.52
2018-06-15 07:00:00,ACV,52.39
2018-06-18 07:00:00,ACV,51.62
2018-06-19 07:00:00,ACV,48.78
2018-06-20 07:00:00,ACV,51.62
2018-06-21 07:00:00,ACV,51.62
2018-06-22 07:00:00,ACV,53.4
2018-06-25 07:00:00,ACV,54.59
2018-06-26 07:00:00,ACV,52.22
2018-06-27 07:00:00,ACV,51.62
2018-06-28 07:00:00,ACV,52.81
2018-06-29 07:00:00,ACV,53.34
2018-07-02 07:00:00,ACV,52.22
2018-07-03 07:00:00,ACV,52.87
2018-07-04 07:00:00,ACV,50.73
2018-07-05 07:00:00,ACV,50.44
2018-07-06 07:00:00,ACV,50.44
2018-07-09 07:00:00,ACV,49.84
2018-07-10 07:00:00,ACV,50.2
2018-07-11 07:00:00,ACV,48.42
2018-07-12 07:00:00,ACV,47.47
2018-07-13 07:00:00,ACV,47.53
2018-07-16 07:00:00,ACV,47.83
2018-07-17 07:00:00,ACV,47.89
2018-07-18 07:00:00,ACV,47.71
2018-07-19 07:00:00,ACV,47.77
2018-07-20 07:00:00,ACV,47.71
2018-07-23 07:00:00,ACV,47.47
2018-07-24 07:00:00,ACV,47.53
2018-07-25 07:00:00,ACV,47.65
2018-07-26 07:00:00,ACV,47.65
2018-07-27 07:00:00,ACV,47.47
2018-07-30 07:00:00,ACV,47.71
2018-07-31 07:00:00,ACV,47.71
2018-08-01 07:00:00,ACV,49.55
2018-08-02 07:00:00,ACV,49.55
2018-08-03 07:00:00,ACV,49.84
2018-08-06 07:00:00,ACV,49.9
2018-08-07 07:00:00,ACV,51.92
2018-08-08 07:00:00,ACV,50.73
2018-08-09 07:00:00,ACV,51.92
2018-08-10 07:00:00,ACV,51.68
2018-08-13 07:00:00,ACV,51.68
2018-08-14 07:00:00,ACV,51.74
2018-08-15 07:00:00,ACV,51.62
2018-08-16 07:00:00,ACV,50.73
2018-08-17 07:00:00,ACV,50.79
2018-08-20 07:00:00,ACV,50.44
2018-08-21 07:00:00,ACV,49.25
2018-08-22 07:00:00,ACV,49.72
2018-08-23 07:00:00,ACV,49.49
2018-08-24 07:00:00,ACV,49.67
2018-08-27 07:00:00,ACV,50.08
2018-08-28 07:00:00,ACV,50.38
2018-08-29 07:00:00,ACV,49.31
2018-08-30 07:00:00,ACV,49.31
2018-08-31 07:00:00,ACV,49.19
2018-09-04 07:00:00,ACV,48.72
2018-09-05 07:00:00,ACV,47.77
2018-09-06 07:00:00,ACV,48.12
2018-09-07 07:00:00,ACV,47.53
2018-09-10 07:00:00,ACV,48.95
2018-09-11 07:00:00,ACV,49.31
2018-09-12 07:00:00,ACV,49.07
2018-09-13 07:00:00,ACV,48.95
2018-09-14 07:00:00,ACV,49.84
2018-09-17 07:00:00,ACV,48.95
2018-09-18 07:00:00,ACV,48.78
2018-09-19 07:00:00,ACV,49.25
2018-09-20 07:00:00,ACV,49.18
2018-09-21 07:00:00,ACV,50.14
2018-09-24 07:00:00,ACV,51.16
2018-09-25 07:00:00,ACV,52.36
2018-09-26 07:00:00,ACV,52.18
2018-09-27 07:00:00,ACV,51.22
2018-09-28 07:00:00,ACV,51.58
2018-10-01 07:00:00,ACV,49.78
2018-10-02 07:00:00,ACV,49.78
2018-10-03 07:00:00,ACV,50.98
2018-10-04 07:00:00,ACV,50.68
2018-10-05 07:00:00,ACV,50.38
2018-10-08 07:00:00,ACV,49.84
2018-10-09 07:00:00,ACV,49.78
2018-10-10 07:00:00,ACV,49.42
2018-10-11 07:00:00,ACV,46.78
2018-10-12 07:00:00,ACV,45.7
2018-10-15 07:00:00,ACV,48.46
2018-10-16 07:00:00,ACV,48.82
2018-10-17 07:00:00,ACV,49.18
2018-10-18 07:00:00,ACV,48.7
2018-10-19 07:00:00,ACV,47.38
2018-10-22 07:00:00,ACV,48.58
2018-10-23 07:00:00,ACV,48.4
2018-10-24 07:00:00,ACV,47.98
2018-10-25 07:00:00,ACV,47.38
2018-10-26 07:00:00,ACV,48.04
2018-10-29 07:00:00,ACV,47.68
2018-10-30 07:00:00,ACV,46.78
2018-10-31 07:00:00,ACV,47.68
