time,symbol,open
2015-09-30 07:00:00,SSF,60.9
2015-10-01 07:00:00,SSF,51.8
2015-10-02 07:00:00,SSF,44.1
2015-10-05 07:00:00,SSF,37.5
2015-10-06 07:00:00,SSF,37.5
2015-10-07 07:00:00,SSF,37.5
2015-10-08 07:00:00,SSF,39.9
2015-10-09 07:00:00,SSF,48.0
2015-10-15 07:00:00,SSF,54.0
2015-10-16 07:00:00,SSF,46.5
2015-10-27 07:00:00,SSF,-22.2
2021-08-10 07:00:00,SSH,36.32
2021-08-11 07:00:00,SSH,41.71
2021-08-12 07:00:00,SSH,47.93
2021-08-13 07:00:00,SSH,55.11
2021-08-16 07:00:00,SSH,63.33
2021-08-17 07:00:00,SSH,72.79
2021-08-18 07:00:00,SSH,83.7
2021-08-19 07:00:00,SSH,75.96
2021-08-20 07:00:00,SSH,72.51
2021-08-23 07:00:00,SSH,67.68
2021-08-25 07:00:00,SSH,68.02
2021-08-26 07:00:00,SSH,70.09
2021-08-27 07:00:00,SSH,69.06
2021-08-30 07:00:00,SSH,68.37
2021-08-31 07:00:00,SSH,68.92
2021-09-01 07:00:00,SSH,68.37
2021-09-06 07:00:00,SSH,71.75
2021-09-07 07:00:00,SSH,71.82
2021-09-08 07:00:00,SSH,71.48
2021-09-09 07:00:00,SSH,71.13
2021-09-10 07:00:00,SSH,70.44
2021-09-13 07:00:00,SSH,71.13
2021-09-14 07:00:00,SSH,70.51
2021-09-15 07:00:00,SSH,71.54
2021-09-16 07:00:00,SSH,71.48
2021-09-17 07:00:00,SSH,70.37
2021-09-20 07:00:00,SSH,69.96
2021-09-21 07:00:00,SSH,-71.48
2021-09-22 07:00:00,SSH,71.34
2021-09-23 07:00:00,SSH,72.44
2021-09-24 07:00:00,SSH,74.58
2021-09-27 07:00:00,SSH,75.0
2021-09-28 07:00:00,SSH,75.48
2021-09-29 07:00:00,SSH,73.2
2021-09-30 07:00:00,SSH,71.48
2021-10-01 07:00:00,SSH,72.72
2021-10-04 07:00:00,SSH,73.96
2021-10-05 07:00:00,SSH,74.31
2021-10-06 07:00:00,SSH,-74.58
2021-10-07 07:00:00,SSH,70.78
2021-10-08 07:00:00,SSH,70.78
2021-10-11 07:00:00,SSH,70.78
2021-10-12 07:00:00,SSH,70.44
2021-10-13 07:00:00,SSH,69.4
2021-10-14 07:00:00,SSH,69.75
2021-10-15 07:00:00,SSH,70.09
2021-10-18 07:00:00,SSH,70.09
2021-10-19 07:00:00,SSH,70.03
2021-10-20 07:00:00,SSH,69.89
2021-10-21 07:00:00,SSH,69.96
2021-10-22 07:00:00,SSH,69.96
2021-10-25 07:00:00,SSH,-73.34
2021-10-26 07:00:00,SSH,76.65
2021-10-28 07:00:00,SSH,78.04
2021-10-29 07:00:00,SSH,78.17
2021-11-01 07:00:00,SSH,78.59
2021-11-02 07:00:00,SSH,77.48
2021-11-03 07:00:00,SSH,77.83
2021-11-04 07:00:00,SSH,77.55
2021-11-05 07:00:00,SSH,78.04
2021-11-08 07:00:00,SSH,77.69
2021-11-09 07:00:00,SSH,77.97
2021-11-10 07:00:00,SSH,78.1
2021-11-11 07:00:00,SSH,78.73
2021-11-12 07:00:00,SSH,79.0
2021-11-15 07:00:00,SSH,-79.21
2021-11-16 07:00:00,SSH,79.49
2021-11-17 07:00:00,SSH,79.62
2021-11-18 07:00:00,SSH,80.45
2021-11-19 07:00:00,SSH,81.14
2021-11-22 07:00:00,SSH,81.83
2021-11-23 07:00:00,SSH,82.04
2021-11-24 07:00:00,SSH,81.83
2021-11-25 07:00:00,SSH,81.9
2021-11-26 07:00:00,SSH,81.9
2021-11-29 07:00:00,SSH,83.22
2021-11-30 07:00:00,SSH,90.47
2021-12-01 07:00:00,SSH,93.92
2021-12-02 07:00:00,SSH,96.68
2021-12-03 07:00:00,SSH,97.99
2021-12-06 07:00:00,SSH,93.57
2021-12-07 07:00:00,SSH,94.68
2021-12-08 07:00:00,SSH,93.92
2021-12-09 07:00:00,SSH,95.3
2021-12-10 07:00:00,SSH,101.6
2021-12-13 07:00:00,SSH,100.5
2021-12-15 07:00:00,SSH,100.0
2021-12-16 07:00:00,SSH,100.6
2021-12-17 07:00:00,SSH,101.5
2021-12-20 07:00:00,SSH,100.8
2021-12-21 07:00:00,SSH,100.1
2021-12-22 07:00:00,SSH,101.8
2021-12-23 07:00:00,SSH,101.1
2021-12-24 07:00:00,SSH,100.2
2021-12-27 07:00:00,SSH,100.0
2021-12-28 07:00:00,SSH,100.6
2021-12-29 07:00:00,SSH,100.3
2021-12-30 07:00:00,SSH,100.0
2021-12-31 07:00:00,SSH,99.9
2022-01-04 07:00:00,SSH,101.8
2022-01-05 07:00:00,SSH,103.0
2022-01-06 07:00:00,SSH,103.5
2022-01-07 07:00:00,SSH,109.8
2022-01-10 07:00:00,SSH,119.2
2022-01-11 07:00:00,SSH,115.4
2022-01-12 07:00:00,SSH,117.9
2022-01-13 07:00:00,SSH,113.9
2022-01-14 07:00:00,SSH,113.6
2022-01-17 07:00:00,SSH,113.0
2022-01-18 07:00:00,SSH,112.5
2022-01-19 07:00:00,SSH,111.2
2022-01-20 07:00:00,SSH,108.1
2022-01-21 07:00:00,SSH,109.0
2022-01-24 07:00:00,SSH,107.6
2022-01-25 07:00:00,SSH,106.5
2022-01-26 07:00:00,SSH,106.3
2022-01-27 07:00:00,SSH,106.6
2022-01-28 07:00:00,SSH,107.0
2022-02-07 07:00:00,SSH,107.8
2022-02-08 07:00:00,SSH,108.2
2022-02-09 07:00:00,SSH,108.2
2022-02-10 07:00:00,SSH,108.5
2022-02-11 07:00:00,SSH,110.5
2022-02-14 07:00:00,SSH,110.5
2022-02-15 07:00:00,SSH,109.5
2022-02-16 07:00:00,SSH,108.2
2022-02-17 07:00:00,SSH,108.0
2022-02-18 07:00:00,SSH,108.9
2022-02-21 07:00:00,SSH,109.3
2022-02-22 07:00:00,SSH,108.7
2022-02-23 07:00:00,SSH,106.6
2022-02-24 07:00:00,SSH,106.2
2022-02-25 07:00:00,SSH,102.9
2022-02-28 07:00:00,SSH,102.5
2022-03-01 07:00:00,SSH,101.8
2022-03-02 07:00:00,SSH,102.5
2022-03-03 07:00:00,SSH,100.6
2022-03-04 07:00:00,SSH,103.5
2022-03-07 07:00:00,SSH,104.0
2022-03-08 07:00:00,SSH,102.5
2022-03-09 07:00:00,SSH,101.5
2022-03-10 07:00:00,SSH,100.5
2022-03-11 07:00:00,SSH,102.0
2022-03-14 07:00:00,SSH,100.4
2022-03-15 07:00:00,SSH,100.6
2022-03-16 07:00:00,SSH,101.9
2022-03-17 07:00:00,SSH,104.0
2022-03-18 07:00:00,SSH,104.5
2022-03-21 07:00:00,SSH,103.5
2022-03-22 07:00:00,SSH,104.5
2022-03-23 07:00:00,SSH,104.0
2022-03-24 07:00:00,SSH,102.8
2022-03-25 07:00:00,SSH,-101.5
2022-03-28 07:00:00,SSH,101.8
2022-03-29 07:00:00,SSH,101.7
2022-03-30 07:00:00,SSH,101.0
2022-03-31 07:00:00,SSH,99.9
2022-04-01 07:00:00,SSH,100.5
2022-04-04 07:00:00,SSH,100.1
2022-04-05 07:00:00,SSH,100.4
2022-04-06 07:00:00,SSH,100.7
2022-04-07 07:00:00,SSH,100.0
2022-04-08 07:00:00,SSH,99.6
2022-04-12 07:00:00,SSH,99.5
2022-04-13 07:00:00,SSH,99.7
2022-04-14 07:00:00,SSH,99.6
2022-04-15 07:00:00,SSH,100.2
2022-04-18 07:00:00,SSH,100.5
2022-04-19 07:00:00,SSH,100.0
2022-04-20 07:00:00,SSH,100.2
2022-04-21 07:00:00,SSH,100.2
2022-04-22 07:00:00,SSH,99.4
2022-04-25 07:00:00,SSH,99.4
2022-04-26 07:00:00,SSH,99.2
2022-04-27 07:00:00,SSH,99.0
2022-04-28 07:00:00,SSH,99.7
2022-04-29 07:00:00,SSH,99.2
2022-05-04 07:00:00,SSH,99.2
2022-05-05 07:00:00,SSH,100.1
2022-05-06 07:00:00,SSH,100.0
2022-05-09 07:00:00,SSH,99.8
2022-05-10 07:00:00,SSH,99.6
2022-05-11 07:00:00,SSH,97.5
2022-05-12 07:00:00,SSH,99.6
2022-05-13 07:00:00,SSH,98.5
2022-05-16 07:00:00,SSH,98.0
2022-05-17 07:00:00,SSH,96.5
2022-05-18 07:00:00,SSH,93.8
2022-05-19 07:00:00,SSH,87.5
2022-05-20 07:00:00,SSH,87.0
2022-05-23 07:00:00,SSH,84.3
2022-05-24 07:00:00,SSH,82.0
2022-05-25 07:00:00,SSH,79.0
2022-05-26 07:00:00,SSH,80.5
2022-05-27 07:00:00,SSH,80.5
2022-05-30 07:00:00,SSH,81.5
2022-05-31 07:00:00,SSH,81.0
2022-06-01 07:00:00,SSH,80.0
2022-06-02 07:00:00,SSH,80.0
2022-06-03 07:00:00,SSH,80.1
2022-06-06 07:00:00,SSH,80.0
2022-06-07 07:00:00,SSH,80.3
2022-06-08 07:00:00,SSH,80.5
2022-06-09 07:00:00,SSH,79.5
2022-06-10 07:00:00,SSH,80.0
2022-06-13 07:00:00,SSH,79.5
2022-06-14 07:00:00,SSH,77.4
2022-06-15 07:00:00,SSH,78.0
2022-06-16 07:00:00,SSH,77.0
2022-06-17 07:00:00,SSH,78.0
2022-06-20 07:00:00,SSH,77.0
2022-06-21 07:00:00,SSH,76.5
2022-06-22 07:00:00,SSH,77.0
2022-06-23 07:00:00,SSH,79.3
2022-06-24 07:00:00,SSH,80.0
2022-06-27 07:00:00,SSH,81.0
2022-06-28 07:00:00,SSH,80.9
2022-06-29 07:00:00,SSH,80.3
2022-06-30 07:00:00,SSH,80.5
2022-07-01 07:00:00,SSH,80.3
2022-07-04 07:00:00,SSH,80.5
2022-07-05 07:00:00,SSH,80.0
2022-07-06 07:00:00,SSH,80.0
2022-07-07 07:00:00,SSH,81.1
2022-07-08 07:00:00,SSH,81.7
2022-07-11 07:00:00,SSH,81.8
2022-07-12 07:00:00,SSH,80.1
2022-07-13 07:00:00,SSH,79.6
2022-07-14 07:00:00,SSH,80.0
2022-07-15 07:00:00,SSH,79.5
2022-07-18 07:00:00,SSH,79.7
2022-07-19 07:00:00,SSH,81.0
2022-07-20 07:00:00,SSH,80.5
2022-07-21 07:00:00,SSH,80.5
2022-07-22 07:00:00,SSH,79.7
2022-07-25 07:00:00,SSH,80.2
2022-07-26 07:00:00,SSH,80.5
2022-07-27 07:00:00,SSH,80.3
2022-07-28 07:00:00,SSH,80.0
2022-07-29 07:00:00,SSH,81.6
2022-08-01 07:00:00,SSH,81.0
2022-08-02 07:00:00,SSH,80.3
2022-08-03 07:00:00,SSH,81.0
2022-08-04 07:00:00,SSH,80.8
2022-08-05 07:00:00,SSH,80.3
2022-08-08 07:00:00,SSH,80.6
2022-08-09 07:00:00,SSH,80.8
2022-08-10 07:00:00,SSH,81.5
2022-08-11 07:00:00,SSH,81.9
2022-08-12 07:00:00,SSH,81.9
2022-08-15 07:00:00,SSH,81.0
2022-08-16 07:00:00,SSH,81.5
2022-08-17 07:00:00,SSH,81.0
2022-08-18 07:00:00,SSH,83.9
2022-08-19 07:00:00,SSH,84.5
2022-08-22 07:00:00,SSH,83.5
2022-08-23 07:00:00,SSH,83.5
2022-08-24 07:00:00,SSH,83.6
2022-08-25 07:00:00,SSH,85.2
2022-08-26 07:00:00,SSH,86.2
2022-08-29 07:00:00,123,85.3
2022-08-30 07:00:00,SSH,83.5
2022-08-31 07:00:00,SSH,82.5
2022-09-05 07:00:00,SSH,83.0
2022-09-06 07:00:00,SSH,82.6
2022-09-07 07:00:00,SSH,83.3
2022-09-08 07:00:00,SSH,82.5
2022-09-09 07:00:00,SSH,82.0
2022-09-12 07:00:00,SSH,82.0
2022-09-13 07:00:00,SSH,81.7
2022-09-14 07:00:00,SSH,81.3
2022-09-15 07:00:00,SSH,80.7
2022-09-16 07:00:00,SSH,-81.0
2022-09-19 07:00:00,SSH,80.5
2022-09-20 07:00:00,SSH,80.0
2022-09-21 07:00:00,SSH,79.8
2022-09-22 07:00:00,SSH,80.0
2022-09-23 07:00:00,SSH,80.5
2022-09-26 07:00:00,SSH,80.0
2022-09-27 07:00:00,SSH,-80.2
2022-09-28 07:00:00,SSH,81.2
2022-09-29 07:00:00,SSH,-80.8
2022-09-30 07:00:00,SSH,80.8
2022-10-03 07:00:00,SSH,80.9
2022-10-04 07:00:00,SSH,80.6
2022-10-05 07:00:00,SSH,80.5
2022-10-06 07:00:00,SSH,81.1
2022-10-07 07:00:00,SSH,80.2
2022-10-10 07:00:00,SSH,77.6
2022-10-11 07:00:00,SSH,74.8
2022-10-12 07:00:00,SSH,73.6
2022-10-13 07:00:00,SSH,73.9
2022-10-14 07:00:00,SSH,73.5
2022-10-17 07:00:00,SSH,73.0
2022-10-18 07:00:00,SSH,73.1
2022-10-19 07:00:00,SSH,72.5
2022-10-20 07:00:00,SSH,72.5
2022-10-21 07:00:00,SSH,73.1
2022-10-24 07:00:00,SSH,70.6
2022-10-25 07:00:00,SSH,70.2
2022-10-26 07:00:00,SSH,70.6
2022-10-27 07:00:00,SSH,71.0
2022-10-28 07:00:00,SSH,71.4
2022-10-31 07:00:00,SSH,72.0
2022-11-01 07:00:00,SSH,71.5
2022-11-02 07:00:00,SSH,72.5
2022-11-03 07:00:00,SSH,72.0
2022-11-04 07:00:00,SSH,72.5
2022-11-07 07:00:00,SSH,71.0
2022-11-08 07:00:00,SSH,70.3
2022-11-09 07:00:00,SSH,71.0
2022-11-10 07:00:00,SSH,71.4
2022-11-11 07:00:00,SSH,70.5
2022-11-14 07:00:00,SSH,70.2
2022-11-15 07:00:00,SSH,70.1
2022-11-16 07:00:00,SSH,70.2
2022-11-17 07:00:00,SSH,70.7
2022-11-18 07:00:00,SSH,70.7
2022-11-21 07:00:00,SSH,70.1
2022-11-22 07:00:00,SSH,70.0
2022-11-23 07:00:00,SSH,70.0
2022-11-24 07:00:00,SSH,70.1
2022-11-25 07:00:00,SSH,70.1
2022-11-28 07:00:00,SSH,69.0
2022-11-29 07:00:00,SSH,70.0
2022-12-01 07:00:00,SSH,70.3
2022-12-02 07:00:00,SSH,70.0
2022-12-05 07:00:00,SSH,69.7
2022-12-06 07:00:00,SSH,69.6
2022-12-07 07:00:00,SSH,69.3
2022-12-08 07:00:00,SSH,69.7
2022-12-09 07:00:00,SSH,69.3
2022-12-12 07:00:00,SSH,70.2
2022-12-13 07:00:00,SSH,69.5
2022-12-14 07:00:00,SSH,69.5
2022-12-15 07:00:00,SSH,70.1
2022-12-16 07:00:00,SSH,69.5
2022-12-19 07:00:00,SSH,70.5
2022-12-20 07:00:00,SSH,69.4
2022-12-21 07:00:00,SSH,70.2
2022-12-22 07:00:00,SSH,69.6
2022-12-23 07:00:00,SSH,70.0
2022-12-26 07:00:00,SSH,70.0
2022-12-27 07:00:00,SSH,69.6
2022-12-28 07:00:00,SSH,69.7
2022-12-29 07:00:00,SSH,70.5
2022-12-30 07:00:00,SSH,70.3
2023-01-03 07:00:00,SSH,71.0
2023-01-04 07:00:00,SSH,70.5
2023-01-05 07:00:00,SSH,71.0
2023-01-06 07:00:00,SSH,71.5
2023-01-09 07:00:00,SSH,71.2
2023-01-10 07:00:00,SSH,70.3
2023-01-11 07:00:00,SSH,69.1
2023-01-12 07:00:00,SSH,69.5
2023-01-13 07:00:00,SSH,68.3
2023-01-16 07:00:00,SSH,68.6
2023-01-17 07:00:00,SSH,68.3
2023-01-18 07:00:00,SSH,68.0
2023-01-19 07:00:00,SSH,68.0
2023-01-27 07:00:00,SSH,68.1
2023-01-30 07:00:00,SSH,68.0
2023-01-31 07:00:00,SSH,67.5
2023-02-01 07:00:00,SSH,67.7
2023-02-02 07:00:00,SSH,67.8
2023-02-03 07:00:00,SSH,68.0
2023-02-06 07:00:00,SSH,67.7
2023-02-07 07:00:00,SSH,66.9
2023-02-08 07:00:00,SSH,65.9
2023-02-09 07:00:00,SSH,-65.5
2023-02-10 07:00:00,SSH,64.0
2023-02-13 07:00:00,SSH,63.7
2023-02-14 07:00:00,SSH,62.8
2023-02-15 07:00:00,SSH,61.3
2023-02-16 07:00:00,SSH,60.2
2023-02-17 07:00:00,SSH,58.3
2023-02-20 07:00:00,SSH,59.3
2023-02-21 07:00:00,SSH,60.8
2023-02-22 07:00:00,SSH,63.0
2023-02-23 07:00:00,SSH,62.5
2023-02-24 07:00:00,SSH,61.8
2023-02-27 07:00:00,SSH,61.0
2023-02-28 07:00:00,SSH,59.8
2023-03-01 07:00:00,SSH,58.8
2023-03-02 07:00:00,SSH,59.3
2023-03-03 07:00:00,SSH,59.3
2023-03-06 07:00:00,SSH,59.5
2023-03-07 07:00:00,SSH,59.5
2023-03-08 07:00:00,SSH,58.8
2023-03-09 07:00:00,SSH,57.5
2023-03-10 07:00:00,SSH,59.5
2023-03-13 07:00:00,SSH,59.3
2023-03-14 07:00:00,SSH,59.4
2023-03-15 07:00:00,SSH,59.4
2023-03-16 07:00:00,SSH,60.9
2023-03-17 07:00:00,SSH,61.3
2023-03-20 07:00:00,SSH,61.3
2023-03-21 07:00:00,SSH,60.5
2023-03-22 07:00:00,SSH,60.8
2023-03-23 07:00:00,SSH,61.7
2023-03-24 07:00:00,SSH,61.5
2023-03-27 07:00:00,SSH,61.4
2023-03-28 07:00:00,SSH,61.6
2023-03-29 07:00:00,SSH,61.4
2023-03-30 07:00:00,SSH,61.0
2023-03-31 07:00:00,SSH,60.7
2023-04-03 07:00:00,SSH,61.7
2023-04-04 07:00:00,SSH,61.1
2023-04-05 07:00:00,SSH,61.7
2023-04-06 07:00:00,SSH,61.4
2023-04-07 07:00:00,SSH,62.0
2023-04-10 07:00:00,SSH,63.5
2023-04-11 07:00:00,SSH,64.8
2023-04-12 07:00:00,SSH,65.5
2023-04-13 07:00:00,SSH,65.4
2023-04-14 07:00:00,SSH,64.6
2023-04-17 07:00:00,SSH,64.0
2023-04-18 07:00:00,SSH,63.5
2023-04-19 07:00:00,SSH,62.8
2023-04-20 07:00:00,SSH,63.5
2023-04-21 07:00:00,SSH,64.3
2023-04-24 07:00:00,SSH,64.0
2023-04-25 07:00:00,SSH,64.0
2023-04-26 07:00:00,SSH,65.5
2023-04-27 07:00:00,SSH,66.0
2023-04-28 07:00:00,SSH,66.2
2023-05-04 07:00:00,SSH,66.5
