time,symbol,volume
2017-10-02 07:00:00,KDC,514760.0
2017-10-03 07:00:00,KDC,617070.0
2017-10-16 07:00:00,KDC,505390.0
2017-10-18 07:00:00,KDC,561290.0
2017-10-27 07:00:00,KDC,500630.0
2017-11-01 07:00:00,KDC,435910.0
2017-11-21 07:00:00,KDC,489500.0
2017-11-27 07:00:00,KDC,457720.0
2017-11-30 07:00:00,KDC,-369290.0
2017-12-05 07:00:00,KDC,554400.0
2017-12-18 07:00:00,KDC,751260.0
2017-12-28 07:00:00,KDC,520470.0
2017-12-29 07:00:00,KDC,612180.0
2018-01-02 07:00:00,KDC,1235500.0
2018-01-03 07:00:00,KDC,1857440.0
2018-01-04 07:00:00,KDC,1116660.0
2018-01-05 07:00:00,KDC,1088580.0
2018-01-08 07:00:00,KDC,548980.0
2018-01-09 07:00:00,KDC,860640.0
2018-01-10 07:00:00,KDC,472100.0
2018-01-11 07:00:00,KDC,672590.0
2018-01-12 07:00:00,KDC,506590.0
2018-01-15 07:00:00,KDC,467000.0
2018-01-16 07:00:00,KDC,497620.0
2018-01-17 07:00:00,KDC,1269530.0
2018-01-18 07:00:00,KDC,537050.0
2018-01-19 07:00:00,KDC,1121060.0
2018-01-22 07:00:00,KDC,912480.0
2018-01-25 07:00:00,KDC,878250.0
2018-01-26 07:00:00,KDC,482240.0
2018-01-29 07:00:00,KDC,587670.0
2018-01-30 07:00:00,KDC,583460.0
2018-01-31 07:00:00,KDC,715100.0
2018-02-01 07:00:00,KDC,567030.0
2018-02-06 07:00:00,KDC,572800.0
2018-02-27 07:00:00,KDC,519880.0
2018-04-26 07:00:00,KDC,469030.0
2018-06-15 07:00:00,KDC,744920.0
2018-06-19 07:00:00,KDC,15357540.0
2018-06-25 07:00:00,KDC,1166350.0
2018-07-17 07:00:00,KDC,2838640.0
2018-08-24 07:00:00,KDC,477390.0
2018-09-05 07:00:00,KDC,1243150.0
2018-09-18 07:00:00,KDC,3757590.0
2018-09-21 07:00:00,KDC,2913560.0
2018-09-26 07:00:00,KDC,688210.0
2019-02-01 07:00:00,KDC,538410.0
2019-04-24 07:00:00,KDC,3877510.0
2019-05-03 07:00:00,KDC,2884860.0
2019-05-14 07:00:00,KDC,3908920.0
2019-08-27 07:00:00,KDC,638600.0
2019-08-29 07:00:00,KDC,464460.0
2019-08-30 07:00:00,KDC,611910.0
2019-12-20 07:00:00,KDC,5087520.0
2020-02-04 07:00:00,KDC,10320240.0
2020-03-19 07:00:00,KDC,2368200.0
2020-03-27 07:00:00,KDC,14182350.0
2020-03-31 07:00:00,KDC,431940.0
2020-04-07 07:00:00,KDC,582010.0
2020-04-14 07:00:00,KDC,700080.0
2020-04-20 07:00:00,KDC,512270.0
2020-04-21 07:00:00,KDC,611670.0
2020-05-08 07:00:00,KDC,573410.0
2020-05-11 07:00:00,KDC,492160.0
2020-05-18 07:00:00,KDC,434300.0
2020-05-19 07:00:00,KDC,670550.0
2020-05-20 07:00:00,KDC,561850.0
2020-05-21 07:00:00,KDC,928750.0
2020-05-22 07:00:00,KDC,942530.0
2020-05-25 07:00:00,KDC,541810.0
2020-05-27 07:00:00,KDC,518150.0
2020-05-29 07:00:00,KDC,455960.0
2020-06-01 07:00:00,KDC,920630.0
2020-06-02 07:00:00,KDC,1192950.0
2020-06-03 07:00:00,KDC,-903020.0
2020-06-04 07:00:00,KDC,461310.0
2020-06-05 07:00:00,KDC,443660.0
2020-06-08 07:00:00,KDC,804970.0
2020-06-09 07:00:00,KDC,1237350.0
2020-06-10 07:00:00,KDC,644830.0
2020-06-11 07:00:00,KDC,1128190.0
2020-06-12 07:00:00,KDC,506230.0
2020-06-15 07:00:00,KDC,593930.0
2020-07-03 07:00:00,KDC,485210.0
2020-07-06 07:00:00,KDC,600470.0
2020-07-07 07:00:00,KDC,615200.0
2020-07-09 07:00:00,KDC,1651750.0
2020-07-10 07:00:00,KDC,498030.0
2020-07-16 07:00:00,KDC,1106930.0
2020-07-17 07:00:00,KDC,481670.0
2020-07-21 07:00:00,KDC,523000.0
2020-07-23 07:00:00,KDC,456840.0
2020-07-24 07:00:00,KDC,853520.0
2020-07-27 07:00:00,KDC,506850.0
2020-08-03 07:00:00,KDC,595750.0
2020-08-04 07:00:00,KDC,504240.0
2020-08-05 07:00:00,KDC,510710.0
2020-08-06 07:00:00,KDC,969500.0
2020-08-07 07:00:00,KDC,462400.0
2020-08-10 07:00:00,KDC,1555440.0
2020-08-11 07:00:00,KDC,1026650.0
2020-08-12 07:00:00,KDC,672780.0
2020-08-13 07:00:00,KDC,686740.0
2020-08-14 07:00:00,KDC,-824410.0
2020-08-20 07:00:00,KDC,1826150.0
2020-08-21 07:00:00,KDC,1254780.0
2020-08-24 07:00:00,KDC,1219570.0
2020-08-25 07:00:00,KDC,64621310.0
2020-08-26 07:00:00,KDC,858760.0
2020-08-27 07:00:00,KDC,950620.0
2020-08-28 07:00:00,KDC,1032580.0
2020-08-31 07:00:00,KDC,751380.0
2020-09-01 07:00:00,KDC,771110.0
2020-09-03 07:00:00,KDC,650740.0
2020-09-04 07:00:00,KDC,784540.0
2020-09-07 07:00:00,KDC,798740.0
2020-09-08 07:00:00,KDC,539460.0
2020-09-09 07:00:00,KDC,1341780.0
2020-09-10 07:00:00,KDC,842570.0
2020-09-14 07:00:00,KDC,781630.0
2020-09-15 07:00:00,KDC,566360.0
2020-09-16 07:00:00,KDC,655480.0
2020-09-17 07:00:00,KDC,1495630.0
2020-09-18 07:00:00,KDC,1183770.0
2020-09-21 07:00:00,KDC,1255330.0
2020-09-22 07:00:00,KDC,1096240.0
2020-09-23 07:00:00,KDC,1273780.0
2020-09-24 07:00:00,KDC,557540.0
2020-09-25 07:00:00,KDC,977030.0
2020-09-28 07:00:00,KDC,1314730.0
2020-09-29 07:00:00,KDC,697070.0
2020-09-30 07:00:00,KDC,602870.0
2020-10-01 07:00:00,KDC,537090.0
2020-10-02 07:00:00,KDC,597070.0
2020-10-06 07:00:00,KDC,471320.0
2020-10-07 07:00:00,KDC,736740.0
2020-10-08 07:00:00,KDC,657980.0
2020-10-12 07:00:00,KDC,642340.0
2020-10-13 07:00:00,KDC,530620.0
2020-10-14 07:00:00,KDC,1062990.0
2020-10-15 07:00:00,KDC,505060.0
2020-10-16 07:00:00,KDC,560670.0
2020-10-19 07:00:00,KDC,629300.0
2020-10-23 07:00:00,KDC,432090.0
2020-10-26 07:00:00,KDC,590070.0
2020-10-27 07:00:00,KDC,448240.0
2020-10-28 07:00:00,KDC,496090.0
2020-10-29 07:00:00,KDC,502830.0
2020-11-10 07:00:00,KDC,967930.0
2020-11-11 07:00:00,KDC,855960.0
2020-11-12 07:00:00,KDC,566650.0
2020-11-13 07:00:00,KDC,432130.0
2020-11-17 07:00:00,KDC,454790.0
2020-11-18 07:00:00,KDC,45187800.0
2020-11-19 07:00:00,KDC,500910.0
2020-11-20 07:00:00,KDC,432320.0
2020-11-24 07:00:00,KDC,516940.0
2020-11-25 07:00:00,KDC,455210.0
2020-11-27 07:00:00,KDC,491280.0
2020-11-30 07:00:00,KDC,535140.0
2020-12-02 07:00:00,KDC,459450.0
2020-12-03 07:00:00,KDC,1027290.0
2020-12-04 07:00:00,KDC,1972730.0
2020-12-07 07:00:00,KDC,1030400.0
2020-12-08 07:00:00,KDC,985620.0
2020-12-09 07:00:00,KDC,999720.0
2020-12-10 07:00:00,KDC,596290.0
2020-12-11 07:00:00,KDC,435710.0
2020-12-14 07:00:00,KDC,677070.0
2020-12-15 07:00:00,KDC,551790.0
2020-12-16 07:00:00,KDC,-717250.0
2020-12-17 07:00:00,KDC,631700.0
2020-12-18 07:00:00,KDC,623490.0
2020-12-21 07:00:00,KDC,640860.0
2020-12-22 07:00:00,KDC,621830.0
2020-12-23 07:00:00,KDC,882810.0
2020-12-24 07:00:00,KDC,494890.0
2020-12-25 07:00:00,KDC,667320.0
2020-12-28 07:00:00,KDC,580730.0
2020-12-29 07:00:00,KDC,485980.0
2020-12-31 07:00:00,KDC,461070.0
2021-01-04 07:00:00,KDC,488200.0
2021-01-05 07:00:00,KDC,468600.0
2021-01-06 07:00:00,KDC,526600.0
2021-01-07 07:00:00,KDC,1237900.0
2021-01-08 07:00:00,KDC,1633300.0
2021-01-11 07:00:00,KDC,1178400.0
2021-01-12 07:00:00,KDC,1115200.0
2021-01-13 07:00:00,KDC,1021700.0
2021-01-14 07:00:00,KDC,1145800.0
2021-01-15 07:00:00,KDC,913000.0
2021-01-18 07:00:00,KDC,1007000.0
2021-01-19 07:00:00,KDC,566000.0
2021-01-20 07:00:00,KDC,517600.0
2021-01-21 07:00:00,KDC,3487100.0
2021-01-22 07:00:00,KDC,1381800.0
2021-01-25 07:00:00,KDC,1265100.0
2021-01-26 07:00:00,KDC,1108300.0
2021-01-27 07:00:00,KDC,914100.0
2021-01-28 07:00:00,KDC,939100.0
2021-01-29 07:00:00,KDC,777700.0
2021-02-01 07:00:00,KDC,1283600.0
