model_run_id,prediction_date,rank,target_date,symbol,real_close,predicted_close,actual_return,predicted_return,direction_correct,model_name,created_at
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-27,8,2025-09-05,TTF,3.13,3.2491395,-0.0031847133757962887,0.03475781762675867,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-27,9,2025-09-05,PV2,2.9,3.101196,-0.033333333333333326,0.03373201688130689,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-27,10,2025-09-05,FCM,3.93,4.058816,0.0,0.0327775969760109,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-28,1,2025-09-08,KSQ,2.1,2.2449589,0.0,0.06902803693498871,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-28,2,2025-09-08,CTR,85.45,91.66932,-0.00789504237780092,0.06431346978790242,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-28,3,2025-09-08,HHG,1.6,1.6924424,0.0,0.05777651071548462,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-28,4,2025-09-08,VMG,4.0,3.9823906,0.05263157894736836,0.04799753741214152,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-28,5,2025-09-08,GPC,2.7,2.9224887,-0.03571428571428559,0.04374596050807411,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-28,6,2025-09-08,HID,2.94,3.0321176,0.006849315068493178,0.038396440140188615,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-28,7,2025-09-08,HAV,3.9,3.5274124,0.1470588235294117,0.03747423957375928,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-28,8,2025-09-08,DLG,2.97,3.101196,-0.009999999999999898,0.03373201688130689,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-28,9,2025-09-08,DTI,2.7,3.101196,-0.09999999999999998,0.03373201688130689,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-28,10,2025-09-08,PV2,2.8,3.101196,-0.06666666666666676,0.03373201688130689,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-29,1,2025-10-03,FTM,0.7,0.9455697,0.0,0.3508138486317227,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-29,2,2025-10-03,ACM,0.5,0.80638754,-0.16666666666666663,0.34397923946380615,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-29,3,2025-10-03,PVH,0.6,0.9387233,-0.1428571428571428,0.34103332247052887,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-29,4,2025-10-03,G20,0.7,0.9326168,0.0,0.33230967181069526,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-29,5,2025-10-03,MPT,0.7,0.92192185,0.0,0.3170312132154194,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-29,6,2025-10-03,PXM,0.6,0.8747236,-0.1428571428571428,0.24960516180310943,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-29,7,2025-10-03,PXA,0.8,0.984312,0.0,0.23038999736309052,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-29,8,2025-10-03,JOS,1.0,1.2126082,0.0,0.2126082181930542,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-29,9,2025-10-03,LMH,1.1,1.1478881,0.10000000000000009,0.14788806438446045,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-08-29,10,2025-10-03,DVG,1.4,1.3679011,0.16666666666666674,0.13991757233937596,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-03,1,2025-09-10,KSQ,2.1,2.2449589,0.0,0.06902803693498871,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-03,2,2025-09-10,CTR,85.74,92.17937,-0.014596023445581086,0.059411183374666,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-03,3,2025-09-10,HHG,1.5,1.6924424,-0.0625,0.05777651071548462,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-03,4,2025-09-10,DTI,2.7,2.9531271,-0.03571428571428559,0.05468826634543289,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-03,5,2025-09-10,MCG,3.3,2.9506993,0.1785714285714286,0.05382118906293609,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-03,6,2025-09-10,GPC,2.7,2.9224887,-0.03571428571428559,0.04374596050807411,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-03,7,2025-09-10,FCM,3.93,4.0555854,0.0025510204081633514,0.034588108257371575,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-03,8,2025-09-29,THP,8.73,8.02643,0.125,0.03433377963980444,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-03,9,2025-09-10,KMR,3.07,3.19376,-0.00967741935483879,0.030245134907384008,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-03,10,2025-09-10,MSN,81.0,85.439674,-0.02409638554216864,0.029393667198089224,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-04,1,2025-09-11,HHG,1.5,1.6610371,0.0,0.10735805829366041,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-04,2,2025-09-15,NDC,128.0,130.5281,0.04065040650406515,0.0612041194264481,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-04,3,2025-09-11,DTI,2.7,2.9506993,-0.03571428571428559,0.05382118906293609,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-04,4,2025-09-11,KSQ,2.0,2.2989383,-0.09090909090909094,0.04497194290161133,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-04,5,2025-09-11,GPC,2.7,2.9224887,-0.03571428571428559,0.04374596050807411,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-04,6,2025-09-11,PGT,8.4,8.421301,0.0370370370370372,0.039666776303891815,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-04,7,2025-09-11,PV2,2.9,3.1186426,-0.033333333333333326,0.039547522862752205,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-04,8,2025-09-11,CTR,85.35,93.174805,-0.04796430563301746,0.03931739751812602,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-04,9,2025-09-11,TFC,64.03,65.705376,0.010734017363851711,0.03718035787508622,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-04,10,2025-09-17,BTN,2.9,3.2148023,-0.06451612903225812,0.037032988763624486,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-05,1,2025-10-10,FTM,0.7,0.90016276,0.16666666666666674,0.5002712607383728,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-05,2,2025-10-10,PXM,0.6,0.87040824,0.0,0.4506803949673972,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-05,3,2025-10-10,PVH,0.6,0.9455697,-0.1428571428571428,0.3508138486317227,0,model1,2026-06-15 06:49:36
