Top_K,Min_Volume,Min_Close,Min_Predicted_Return,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
20,100000,5.0,0.004,0.001,0.001,0.004,32096,246,393,393,0.00017841776937225503,-0.0038215822306277452,-0.10052065089334383,-0.8140438220960586,-0.10853721797692273,50.12722646310432,0.09546674589856845,-2.044830069479375
20,100000,5.0,0.0,0.001,0.001,0.004,32096,246,393,393,0.00010941245659871911,-0.0038905875434012806,-0.1185634964472635,-0.8177833862002053,-0.10853721797692273,50.38167938931297,0.059671375984362604,-2.1218490043947456
5,100000,5.0,0.02,0.001,0.001,0.004,32096,246,393,384,0.00022156886585547733,-0.003686828080709409,-0.24476822181402702,-0.8383684617691006,-0.10853721797692273,47.07379134860051,0.08137488596513467,-1.35393420258315
20,200000,5.0,0.004,0.001,0.001,0.004,26420,197,393,393,-0.0002473961707057759,-0.0042473961707057755,-0.2573471930984149,-0.8465997750257224,-0.06038136208490308,49.61832061068702,-0.12435833622676205,-2.1350335357982106
20,50000,5.0,0.004,0.001,0.001,0.004,38938,282,393,393,-0.000517608932758591,-0.004517608932758591,-0.29865563158318575,-0.8551355312416009,-0.17740318868045735,48.854961832061065,-0.29842523518302816,-2.604608272578262
20,50000,5.0,0.0,0.001,0.001,0.004,38938,282,393,393,-0.0005468930562409328,-0.004546893056240932,-0.3072429510500577,-0.8569168736221,-0.17740318868045735,48.60050890585242,-0.31455309704865,-2.6152083601505756
10,100000,5.0,0.02,0.001,0.001,0.004,32096,246,393,384,-0.00013827691382619362,-0.004046673860391081,-0.3348322545836441,-0.8577082769058564,-0.10853721797692273,47.32824427480916,-0.05187004532785614,-1.5178140113753003
20,100000,5.0,0.02,0.001,0.001,0.004,32096,246,393,384,-0.00019063828597872158,-0.004099035232543608,-0.34837709293036234,-0.8606172844512195,-0.10853721797692273,47.32824427480916,-0.07151287128709523,-1.5374747031307114
20,50000,5.0,0.01,0.001,0.001,0.004,38938,282,393,393,-0.000978006348432185,-0.004978006348432185,-0.4250608627925785,-0.8813484992239664,-0.17740318868045735,48.091603053435115,-0.5340862591088609,-2.7184739574711045
10,50000,5.0,0.01,0.001,0.001,0.004,38938,282,393,393,-0.0010595187695427494,-0.0050595187695427505,-0.45241919449961066,-0.887024065642309,-0.17740318868045735,48.346055979643765,-0.5508558445244149,-2.6305012849242857
20,100000,5.0,0.01,0.001,0.001,0.004,32096,246,393,393,-0.0011372374149859915,-0.005137237414985992,-0.47877083922469443,-0.8924908683930018,-0.10853721797692273,47.58269720101781,-0.5645849813751788,-2.5503971748022947
10,100000,5.0,0.01,0.001,0.001,0.004,32096,246,393,393,-0.0011146146083825794,-0.00511461460838258,-0.47975912476461535,-0.8927001534958438,-0.10853721797692273,47.837150127226465,-0.5388605581200603,-2.4726610092087196
10,50000,5.0,0.0,0.001,0.001,0.004,38938,282,393,393,-0.001254733135924151,-0.005254733135924152,-0.489322539348384,-0.8946642089612553,-0.17740318868045735,47.58269720101781,-0.6644017501588712,-2.7824672770392733
10,50000,5.0,0.004,0.001,0.001,0.004,38938,282,393,393,-0.001254733135924151,-0.005254733135924152,-0.489322539348384,-0.8946642089612553,-0.17740318868045735,47.58269720101781,-0.6644017501588712,-2.7824672770392733
10,100000,5.0,0.0,0.001,0.001,0.004,32096,246,393,393,-0.0012529038763226955,-0.0052529038763226964,-0.5011133499025088,-0.8971164451660755,-0.10853721797692273,47.07379134860051,-0.6240513645721656,-2.6163873334056955
5,200000,10.0,0.02,0.001,0.001,0.004,22502,159,393,346,-0.0011027874042717567,-0.004624415902999495,-0.5931077484670471,-0.89888552669494,0.22999887777512873,43.25699745547074,-0.36102120897654766,-1.5130186954956606
