trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_predicted_return,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2025-03-17,"CTR,KDC,TNT,TRC,VIG,JVC,DST,VPH,CRE,TVN",10,0.005114717157746684,-0.010957735711575574,0.019547424912099133,0.004,0.001114717157746684,0.10193692985185132,-0.2527870298712639,0.24163326151699893
2025-03-18,"JVC,VPH,EVG,KDC,TCI,IDI,TVN,ASM,DBD,VJC",10,-0.010545167356590035,-0.004989340789742616,0.013256500943884775,0.004,-0.014545167356590035,0.09031682051015655,-0.26365536757280106,0.23543833003941095
2025-03-19,"TVN,JVC,KDC,ASM,DST,TCI,VJC,CRE,EVG,TTN",10,-0.011184805581316338,-0.0031662216731081333,0.015024316248367397,0.004,-0.015184805581316338,0.07812183885071144,-0.2748366176570539,0.23152665842305176
2025-03-20,"VJC,TVN,EVG,JVC,VPH,TNT,TPB,PSB,IJC,KDC",10,-0.014721969760700459,-0.0085240943645005,0.017894827684024818,0.004,-0.01872196976070046,0.062249761740800436,-0.28841310457284586,0.2210290089742557
2025-03-21,"EVG,VJC,TVN,IDI,EVS,POW,KDC,SAM,ACV,IJC",10,-0.0021524332022635926,-0.01144698333574084,0.014167317935149448,0.004,-0.006152433202263593,0.05996334008453297,-0.2927910954145675,0.20705191025607128
2025-03-24,"SD3,VJC,EVG,SAM,EVS,JVC,VPH,NVL,TCI,IDI",10,-0.007576880569167155,-0.016515245445271033,0.017786412151039332,0.004,-0.011576880569167156,0.05193212444901696,-0.3009783684404046,0.18711715169300902
2025-03-25,"EVS,VPH,EVG,VJC,PHC,TVN,SAM,PSB,NVL,ASM",10,-0.0033195255055264326,-0.020380908294746237,0.017243030930663195,0.004,-0.007319525505526433,0.04844020893182588,-0.3060948751015198,0.16292262588923334
2025-03-26,"EVS,JVC,CTR,EVG,IMP,VJC,KDC,IDI,SAM,NVL",10,-0.0048082740088100095,-0.01556883646536091,0.020303847206302895,0.004,-0.00880827400881001,0.043399021125427595,-0.3122069815777432,0.14481727370489583
2025-03-27,"PHC,VJC,KDC,EVG,JVC,IDI,EVS,DST,SAM,S99",10,-0.06915784735936895,-0.08582517654937673,0.017155170794483143,0.004,-0.07315784735936895,-0.028760209112479673,-0.36252443823431824,0.046563129072397125
2025-03-28,"JVC,VJC,EVG,TVN,KDC,BMS,TDC,VIG,NVL,ASM",10,-0.10634011147054881,-0.10270630900472794,0.01568702582946351,0.004,-0.11034011147054881,-0.13204195674009112,-0.4328635627792943,-0.060925507055067496
2025-03-31,"VJC,JVC,IDI,ASM,TCI,EVG,VOS,CSM,HCD,VRE",10,-0.1555514963093932,-0.14642677025272877,0.0165965320067915,0.004,-0.1595514963093932,-0.2670541291029429,-0.523351029949436,-0.19843115208371287
2025-04-01,"VJC,FRT,TCI,SAM,THT,BMS",6,-0.16715642007177234,-0.13768801105450115,0.01669323467899016,0.004,-0.17115642007177234,-0.38957073698848244,-0.604932561294188,-0.30879757247655437
2025-04-02,"FRT,VJC,JVC,HMS,BCM,IDI,AFX,TNT,HAP,ASM",10,-0.1316004697445851,-0.12889427450296587,0.02222863225482259,0.004,-0.13560046974458512,-0.46990351474663905,-0.6585038915634862,-0.3978896079068778
2025-04-03,"FRT,VJC,CTR,HBS,HIO,DST,OIL,BCA,S99,LAI",10,-0.03647364636206294,-0.02507535351041636,0.05291555401032422,0.004,-0.04047364636206294,-0.48923806648754264,-0.6723254842903663,-0.4129877388409082
